# ============================================================
# Colour Deconvolution Quantification - Batch Analysis Report
# ============================================================
# Date:             17/6/2026
# Macro version:    1.1.0
# ImageJ version:   1.54t
# Calibration image:EXP1_3MX(x2)_3.tiff
# v1 (Stain):       R=0.79823, G=0.38945, B=0.45953
# v2 (Background):  R=0.49914, G=0.54027, B=0.67747
# v3 (Computed):    R=0.03976, G=-0.79529, B=0.60493
# ============================================================
Filename,Mean_Stain,IntDen_Stain,Area_Total
"EXP1_3MX(x2)_3.tiff",141.8639,1176675634,8294400
"EXP1_CTR_2.tiff",1.2836,10646369,8294400
"EXP3_3MX_1.tiff",40.6081,336819651,8294400
"EXP3_3MX_2.tiff",37.3938,310159044,8294400
"EXP3_3MX_3.tiff",20.0382,166204665,8294400
"EXP3_7MX(x2)_1.tiff",12.6695,105086144,8294400
"EXP3_7MX(x2)_2.tiff",34.6708,287573384,8294400
"EXP3_7MX(x2)_3.tiff",0.0005957,4941,8294400
"EXP3_7MX_1.tiff",25.2185,209172232,8294400
"EXP3_7MX_2.tiff",119.2942,989474150,8294400
"EXP3_7MX_3.tiff",77.2709,640915832,8294400
"EXP3_CTR_1.tiff",4.8916,40573144,8294400
"EXP3_CTR_2.tiff",0.003515,29156,8294400
"EXP3_CTR_3.tiff",0.4999,4146348,8294400
"EXP3_CTR_4.tiff",0.01582,131205,8294400
"EXP3_DGAL_1.tiff",49.5783,411222119,8294400
"EXP3_DGAL_2.tiff",33.2864,276090457,8294400
"EXP3_DGAL_3.tiff",9.1182,75630191,8294400
